dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,intrinsic_dim,id_MLE_train,17.808609008789062,0.0,0.0,384,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,11.0,0.0,0.0,384,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,20.93219566345215,0.0,0.0,384,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,14.672117233276367,0.0,0.0,384,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,13.0,0.0,0.0,384,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,1.8489341735839844,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,24.0,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,17.76897621154785,0.0,0.0,384,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,17.562009811401367,0.0,0.0,384,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,11.0,0.0,0.0,384,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,1.7628173828125,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,24.0,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_TwoNN_train,22.74942970275879,0.0,0.0,384,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_MLE_train,17.226036071777344,0.0,0.0,384,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_lPCA_train,23.0,0.0,0.0,384,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_TwoNN_train,19.683502197265625,0.0,0.0,384,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,15,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_MLE_train,16.968570709228516,0.0,0.0,384,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,15,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_lPCA_train,26.0,0.0,0.0,384,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,15,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,25.37374496459961,0.0,0.0,384,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,19.1933650970459,0.0,0.0,384,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,16.0,0.0,0.0,384,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,2b8099a0f3b85bda,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,20.940073013305664,0.0,0.0,384,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,14.665257453918457,0.0,0.0,384,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,13.0,0.0,0.0,384,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,8.157888412475586,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,4.6060590744018555,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,24.0,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,25.37257957458496,0.0,0.0,384,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,19.193357467651367,0.0,0.0,384,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,16.0,0.0,0.0,384,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,17.77715492248535,0.0,0.0,384,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,17.563982009887695,0.0,0.0,384,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,11.0,0.0,0.0,384,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_TwoNN_train,22.75035858154297,0.0,0.0,384,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_MLE_train,17.22576904296875,0.0,0.0,384,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_lPCA_train,23.0,0.0,0.0,384,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_TwoNN_train,8.64548397064209,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,4.767451763153076,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,25.0,0.0,0.0,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_TwoNN_train,19.68263816833496,0.0,0.0,384,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,15,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_MLE_train,16.97010612487793,0.0,0.0,384,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,15,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_lPCA_train,26.0,0.0,0.0,384,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,15,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,22.435199737548828,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,45,d637a859768f8e54,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,19.635921478271484,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,45,d637a859768f8e54,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,23.0,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,45,d637a859768f8e54,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,103.58503266131224,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,45,d637a859768f8e54,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,29.766673632192163,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,45,d637a859768f8e54,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.14121863468210824,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,45,d637a859768f8e54,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.41135621291251884,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,45,d637a859768f8e54,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_spectral_anisotropy_train,0.13897638568650017,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,45,d637a859768f8e54,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,21.800067901611328,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,model_native,224,bilinear,default,rgb,45,5156bc5a714cc812,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,18.939477920532227,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,model_native,224,bilinear,default,rgb,45,5156bc5a714cc812,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,18.0,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,model_native,224,bilinear,default,rgb,45,5156bc5a714cc812,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,89.61199698616072,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,model_native,224,bilinear,default,rgb,45,5156bc5a714cc812,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,23.615028932324314,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,model_native,224,bilinear,default,rgb,45,5156bc5a714cc812,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.17265800387764582,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,model_native,224,bilinear,default,rgb,45,5156bc5a714cc812,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.444900258897027,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,model_native,224,bilinear,default,rgb,45,5156bc5a714cc812,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_spectral_anisotropy_train,0.17049784200787466,0.0,0.0,384,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,model_native,224,bilinear,default,rgb,45,5156bc5a714cc812,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,21.18677520751953,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,43,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,20.196529388427734,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,43,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,16.0,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,43,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,spectrum_effective_rank_train,73.33428931137155,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,43,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,spectrum_participation_ratio_train,18.471121394138496,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,43,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.19042079983334154,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,43,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.49476011617926086,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,43,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,spectrum_spectral_anisotropy_train,0.18830701602089595,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,43,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_TwoNN_train,19.25473976135254,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,17.55325698852539,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,20.0,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,spectrum_effective_rank_train,68.74723198334488,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,spectrum_participation_ratio_train,21.649831435366796,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.15229964436964108,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.5226434635677463,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,spectrum_spectral_anisotropy_train,0.15008632751420933,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,18.70860481262207,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,16.5108642578125,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,19.0,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,spectrum_effective_rank_train,67.29885873878304,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,all,17,7ee45a965b0a75ce,-6,4,40,True,200,,,,,,,,,,,,,,
